County,State,Population,Valid_ballots,Voter_turnout,Democrats,Republicans,Democrats_vote_share,Republicans_vote_share
Madison County,Iowa,15796,8636,54.67206888,2678,5360,31.00972673,62.06577119
Mahaska County,Iowa,22186,10632,47.92211304,2619,7432,24.63318284,69.90218209
Marion County,Iowa,33146,17816,53.75007542,5482,10962,30.7700943,61.52896273
Marshall County,Iowa,40135,17980,44.79880404,7652,9146,42.55839822,50.8676307
Mills County,Iowa,15053,7698,51.13930778,2090,5067,27.14990907,65.8222915
Mitchell County,Iowa,10644,5417,50.89252161,1888,3190,34.8532398,58.88868377
Monona County,Iowa,8786,4572,52.03733212,1247,3120,27.27471566,68.24146982
Monroe County,Iowa,7836,3865,49.32363451,1056,2638,27.3221216,68.25355757
Montgomery County,Iowa,10124,5044,49.82220466,1314,3436,26.05075337,68.12053925
Muscatine County,Iowa,42968,19434,45.22900763,8368,9584,43.05855717,49.3156324
O'Brien County,Iowa,13926,7406,53.1811001,1315,5752,17.75587362,77.66675668
Osceola County,Iowa,6095,3213,52.71534044,552,2531,17.18020542,78.77373171
Page County,Iowa,15329,7044,45.9521169,1807,4893,25.65303805,69.46337308
Palo Alto County,Iowa,9034,4703,52.05888864,1398,3081,29.725707,65.51137572
Plymouth County,Iowa,25180,13190,52.38284353,2885,9680,21.87263078,73.38893101
Pocahontas County,Iowa,6854,3865,56.39042895,963,2702,24.91591203,69.90944373
Polk County,Iowa,474277,231555,48.82273439,119804,93492,51.73889573,40.37572067
Pottawattamie County,Iowa,93518,42680,45.63827285,15355,24447,35.97703843,57.27975633
Poweshiek County,Iowa,18279,9833,53.79397122,4304,4946,43.77097529,50.30001017
Ringgold County,Iowa,4985,2707,54.30290873,753,1824,27.81677133,67.38086443
Sac County,Iowa,9816,5212,53.09698452,1270,3703,24.36684574,71.0475825
Scott County,Iowa,172135,86220,50.08859326,40440,39149,46.9032707,45.4059383
Shelby County,Iowa,11655,6370,54.65465465,1662,4362,26.09105181,68.47723705
Sioux County,Iowa,34944,18194,52.066163,2300,14785,12.64153017,81.26305375
Story County,Iowa,96893,50667,52.29170322,25709,19458,50.74111355,38.40369471
Tama County,Iowa,17192,8752,50.90739879,3196,4971,36.51736746,56.79844607
Taylor County,Iowa,6213,3029,48.75261548,758,2111,25.02476065,69.69296798
Union County,Iowa,12360,5832,47.18446602,1922,3525,32.95610425,60.44238683
Van Buren County,Iowa,7241,3561,49.17829029,845,2527,23.72928953,70.96321258
Wapello County,Iowa,35265,15149,42.95760669,5594,8715,36.9265298,57.52854974
Warren County,Iowa,49356,27300,55.31242402,10411,14814,38.13553114,54.26373626
Washington County,Iowa,22126,10929,49.39437766,3943,6173,36.07832373,56.48275231
Wayne County,Iowa,6447,2940,45.60260586,719,2069,24.45578231,70.37414966
Webster County,Iowa,36781,17430,47.38859737,6305,10056,36.17326449,57.69363167
Winnebago County,Iowa,10602,5787,54.58404075,1931,3447,33.36789355,59.56454121
Winneshiek County,Iowa,20427,11362,55.62246047,5254,5344,46.24185883,47.03397289
Woodbury County,Iowa,102686,43718,42.57445027,16210,24727,37.07854888,56.56022691
Worth County,Iowa,7471,4257,56.98032392,1530,2453,35.94080338,57.62273902
Wright County,Iowa,12839,6026,46.93511956,1896,3800,31.46365748,63.06007302
Allen County,Kansas,12670,5454,43.04656669,1433,3651,26.2742941,66.94169417
Anderson County,Kansas,7812,3350,42.8827445,672,2435,20.05970149,72.68656716
Atchison County,Kansas,16376,6575,40.15021983,1989,4049,30.25095057,61.58174905
Barber County,Kansas,4673,2252,48.19173978,286,1850,12.69982238,82.14920071
Barton County,Kansas,26878,10269,38.20596771,1839,7888,17.9082676,76.81371117
Bourbon County,Kansas,14624,6093,41.66438731,1336,4424,21.92680125,72.60791072
Brown County,Kansas,9641,4036,41.86287729,863,2906,21.38255699,72.00198216
Butler County,Kansas,66652,27657,41.49462882,6573,19073,23.76613516,68.9626496
Chase County,Kansas,2632,1369,52.01367781,316,969,23.082542,70.7815924
Chautauqua County,Kansas,3360,1481,44.07738095,197,1236,13.30182309,83.45712357
Cherokee County,Kansas,20256,8620,42.55529226,2005,6182,23.25986079,71.71693735
Cheyenne County,Kansas,2667,1407,52.75590551,181,1173,12.86425018,83.36886994
Clark County,Kansas,2065,1005,48.66828087,120,825,11.94029851,82.08955224
Clay County,Kansas,8105,3820,47.13140037,677,2891,17.72251309,75.68062827
Cloud County,Kansas,9070,3930,43.32965821,761,2919,19.36386768,74.27480916
Coffey County,Kansas,8339,4068,48.78282768,727,3050,17.87118977,74.9754179
Comanche County,Kansas,1838,867,47.17083787,102,715,11.76470588,82.46828143
Cowley County,Kansas,35650,12621,35.40252454,3551,8270,28.13564694,65.52571112
Crawford County,Kansas,39046,14891,38.1370691,5199,8624,34.91370627,57.91417635
Decatur County,Kansas,2828,1452,51.3437058,178,1210,12.25895317,83.33333333
Dickinson County,Kansas,18956,8210,43.31082507,1609,6029,19.59805116,73.43483557
Doniphan County,Kansas,7718,3378,43.7678155,587,2606,17.37714624,77.14624038
Douglas County,Kansas,119662,50087,41.85706406,31195,14688,62.28162996,29.32497454
Edwards County,Kansas,2899,1319,45.49844774,212,1037,16.07278241,78.62016679
Elk County,Kansas,2511,1259,50.1393867,160,1048,12.70849881,83.2406672
Ellis County,Kansas,28942,11947,41.27910994,2742,8466,22.95136854,70.86297815
Ellsworth County,Kansas,6302,2679,42.51031419,521,1969,19.44755506,73.49757372
Finney County,Kansas,36885,10159,27.54236139,3195,6350,31.44994586,62.50615218
Ford County,Kansas,34552,7718,22.33734661,2149,5114,27.84400104,66.2606893
Franklin County,Kansas,25523,10965,42.96125064,2892,7185,26.374829,65.52667579
Geary County,Kansas,35223,7504,21.30426142,2722,4274,36.27398721,56.95628998
Gove County,Kansas,2622,1343,51.22044241,149,1140,11.09456441,84.88458675
Graham County,Kansas,2562,1284,50.11709602,188,1025,14.64174455,79.82866044
Grant County,Kansas,7675,2389,31.12703583,441,1804,18.45960653,75.51276685
Gray County,Kansas,6031,2066,34.25634223,263,1698,12.72991288,82.18780252
Greeley County,Kansas,1277,650,50.90054816,83,534,12.76923077,82.15384615
Greenwood County,Kansas,6112,2840,46.46596859,485,2160,17.07746479,76.05633803
Hamilton County,Kansas,2634,876,33.25740319,121,705,13.81278539,80.47945205
Harper County,Kansas,5667,2578,45.49144168,393,1996,15.24437548,77.42435997
Harvey County,Kansas,34726,14916,42.95340667,5068,8668,33.97693752,58.1120944
Haskell County,Kansas,4026,1354,33.63139593,245,1040,18.09453471,76.80945347
Hodgeman County,Kansas,1851,1017,54.94327391,124,855,12.1927237,84.07079646
Jackson County,Kansas,13270,5818,43.84325546,1512,3939,25.98831213,67.70367824
Jefferson County,Kansas,18824,8337,44.28920527,2518,5213,30.20271081,62.52848747
Jewell County,Kansas,2880,1494,51.875,180,1223,12.04819277,81.86077644
Johnson County,Kansas,586015,290090,49.50214585,129852,137490,44.76265986,47.39563584
Kearny County,Kansas,3890,1316,33.83033419,174,1075,13.2218845,81.68693009
Kingman County,Kansas,7417,3334,44.95078873,599,2530,17.96640672,75.88482304
Kiowa County,Kansas,2507,1079,43.03948943,114,900,10.56533828,83.41056534
Labette County,Kansas,20313,8107,39.91040221,2291,5335,28.2595288,65.807327
Lane County,Kansas,1593,871,54.67671061,106,718,12.16991963,82.43398393
Leavenworth County,Kansas,80244,30301,37.76107871,10209,17638,33.69195736,58.20930002
Lincoln County,Kansas,3077,1464,47.57881053,215,1179,14.68579235,80.53278689
Linn County,Kansas,9606,4427,46.08577972,736,3484,16.62525412,78.69889316
Logan County,Kansas,2818,1357,48.15471966,149,1132,10.98010317,83.4193073
Lyon County,Kansas,33369,12288,36.82459768,4649,6552,37.83365885,53.3203125
McPherson County,Kansas,28429,12742,44.82042984,3226,8549,25.31784649,67.09307801
Marion County,Kansas,12017,5624,46.80036615,1204,4003,21.40825036,71.17709815
Marshall County,Kansas,9789,4673,47.7372561,1072,3307,22.94029531,70.7682431
Meade County,Kansas,4236,1720,40.60434372,210,1415,12.20930233,82.26744186
Miami County,Kansas,32923,15022,45.6276767,3991,10003,26.56770071,66.5890028
Mitchell County,Kansas,6207,2942,47.39809892,477,2308,16.21346023,78.45003399
Montgomery County,Kansas,32859,12004,36.5318482,2637,8679,21.96767744,72.3008997
Morris County,Kansas,5558,2624,47.21122706,601,1820,22.90396341,69.3597561
Morton County,Kansas,2790,1192,42.72401434,147,995,12.33221477,83.47315436
Nemaha County,Kansas,10089,5122,50.76816335,725,4124,14.1546271,80.51542366
Neosho County,Kansas,16127,6314,39.15173312,1501,4431,23.77256889,70.17738359
Ness County,Kansas,2957,1454,49.17145756,162,1228,11.14167813,84.45667125
Norton County,Kansas,5491,2234,40.68475687,281,1840,12.57833483,82.36347359
Osage County,Kansas,15811,7046,44.5639112,1753,4826,24.87936418,68.49276185
Osborne County,Kansas,3588,1788,49.83277592,233,1460,13.03131991,81.65548098
Ottawa County,Kansas,5905,2903,49.16172735,424,2283,14.60558043,78.64278333
Pawnee County,Kansas,6719,2661,39.60410775,579,1904,21.75873732,71.5520481
Phillips County,Kansas,5402,2664,49.31506849,300,2233,11.26126126,83.82132132
Pottawatomie County,Kansas,23605,10693,45.29972463,2225,7612,20.80800524,71.18675769
Pratt County,Kansas,9557,3842,40.20089986,771,2838,20.06767309,73.8677772
Rawlins County,Kansas,2500,1472,58.88,163,1220,11.07336957,82.88043478
Reno County,Kansas,63184,24210,38.31666245,6837,15513,28.24039653,64.07682776
Republic County,Kansas,4659,2529,54.28203477,375,2024,14.82799526,80.03163306
Rice County,Kansas,9782,3804,38.88775302,695,2837,18.27024185,74.57939012
Riley County,Kansas,75172,21532,28.64364391,9341,10107,43.38194315,46.93943897
Rooks County,Kansas,5118,2419,47.26455647,275,2031,11.36833402,83.96031418
Rush County,Kansas,3054,1503,49.21414538,233,1197,15.50232868,79.64071856
Russell County,Kansas,7007,3193,45.568717,461,2574,14.43783276,80.61384278
Saline County,Kansas,54955,22064,40.14921299,6317,13828,28.63034808,62.67222625
Scott County,Kansas,4979,2202,44.22574814,236,1865,10.71752952,84.69573115
Sedgwick County,Kansas,513092,188783,36.79320668,69627,104353,36.88202857,55.27669335
Seward County,Kansas,22897,5038,22.00288247,1628,3159,32.31441048,62.70345375
Shawnee County,Kansas,178350,75406,42.27978694,33926,35934,44.99111477,47.65403284
Sheridan County,Kansas,2485,1374,55.2917505,127,1197,9.243085881,87.11790393
Sherman County,Kansas,5955,2612,43.86230059,347,2089,13.2848392,79.9770291
Smith County,Kansas,3656,2042,55.85339168,297,1661,14.54456415,81.34182174
Stafford County,Kansas,4186,1896,45.2938366,304,1490,16.03375527,78.58649789
Stanton County,Kansas,2105,637,30.26128266,115,492,18.0533752,77.23704867
Stevens County,Kansas,5653,1891,33.45126482,220,1599,11.63405605,84.55843469
Sumner County,Kansas,23183,9722,41.93590131,2076,6984,21.35363094,71.83707056
Thomas County,Kansas,7847,3576,45.57155601,473,2908,13.22706935,81.31991051
Trego County,Kansas,2852,1482,51.96353436,198,1227,13.36032389,82.79352227
Wabaunsee County,Kansas,6884,3380,49.09936084,776,2372,22.95857988,70.17751479
Wallace County,Kansas,1502,798,53.12916112,46,721,5.764411028,90.35087719
Washington County,Kansas,5564,2765,49.69446441,387,2194,13.99638336,79.34900542
Wichita County,Kansas,2131,956,44.86156734,140,769,14.64435146,80.43933054
Wilson County,Kansas,8698,3591,41.28535295,594,2788,16.54135338,77.6385408
Woodson County,Kansas,3189,1443,45.24929445,273,1082,18.91891892,74.98267498
Wyandotte County,Kansas,164785,48781,29.60281579,30146,15806,61.79865111,32.40195978
Adair County,Kentucky,19259,8233,42.7488447,1323,6637,16.0694765,80.61459978
Allen County,Kentucky,20721,8096,39.07147338,1349,6466,16.66254941,79.86660079
Anderson County,Kentucky,22191,11422,51.4713172,2634,8242,23.06075994,72.15899142
Ballard County,Kentucky,8046,4101,50.9694258,816,3161,19.89758595,77.07876128
Barren County,Kentucky,43763,18488,42.2457327,4275,13483,23.12310688,72.92838598
Bath County,Kentucky,12246,4587,37.45712886,1361,3082,29.67080881,67.18988446
Bell County,Kentucky,27204,9718,35.72268784,1720,7764,17.69911504,79.8929821
Boone County,Kentucky,129503,57618,44.4916334,15026,39082,26.07865598,67.82949773
Bourbon County,Kentucky,20130,8803,43.73075012,2791,5569,31.70510053,63.26252414
Boyd County,Kentucky,48121,20454,42.50535109,6021,13591,29.43678498,66.4466608
Boyle County,Kentucky,29965,12946,43.20373769,4281,8040,33.06812915,62.10412483
Bracken County,Kentucky,8368,3527,42.14866157,705,2711,19.98865892,76.86419053
Breathitt County,Kentucky,13177,5738,43.54557183,1537,3991,26.7863367,69.55385152
Breckinridge County,Kentucky,19982,8774,43.90951857,1960,6484,22.33872806,73.90015956
Bullitt County,Kentucky,79222,36069,45.52901972,8255,26210,22.8866894,72.66627852
Butler County,Kentucky,12686,5576,43.953965,947,4428,16.98350072,79.41176471
Caldwell County,Kentucky,12634,5975,47.29301884,1260,4507,21.08786611,75.43096234
Calloway County,Kentucky,38733,16049,41.43495211,4749,10367,29.5906287,64.59592498
Campbell County,Kentucky,92257,42510,46.07780439,14658,25050,34.48129852,58.92731122
Carlisle County,Kentucky,4783,2601,54.38009617,432,2094,16.60899654,80.50749712
Carroll County,Kentucky,10614,3855,36.31995478,1106,2588,28.69001297,67.13359274
Carter County,Kentucky,27304,10278,37.64283621,2276,7587,22.14438607,73.8178634
Casey County,Kentucky,15775,6439,40.8177496,767,5482,11.91178754,85.1374437
Christian County,Kentucky,71796,22083,30.75798095,7188,14108,32.54992528,63.88624734
Clark County,Kentucky,35851,16205,45.20097068,4706,10710,29.04041962,66.09071274
Clay County,Kentucky,20626,6767,32.80810627,752,5861,11.11275307,86.61149697
Clinton County,Kentucky,10200,4462,43.74509804,547,3809,12.25907665,85.36530704
Crittenden County,Kentucky,9131,4037,44.21202497,617,3290,15.28362646,81.49616052
Cumberland County,Kentucky,6731,3066,45.55043827,459,2502,14.97064579,81.60469667
Daviess County,Kentucky,100032,45807,45.79234645,14163,28907,30.9188552,63.10607549
Edmonson County,Kentucky,12076,5244,43.42497516,979,4135,18.668955,78.85202136
Elliott County,Kentucky,7491,2855,38.11240155,740,2000,25.91943958,70.0525394
Estill County,Kentucky,14315,5545,38.73559204,1108,4236,19.98196573,76.39314698
Fayette County,Kentucky,319644,136315,42.64588104,69778,56894,51.18879067,41.73715292
Fleming County,Kentucky,14481,6260,43.22905877,1348,4722,21.53354633,75.4313099
Floyd County,Kentucky,36968,16540,44.74139797,4015,11993,24.27448609,72.50906892
Franklin County,Kentucky,50292,23865,47.45287521,10717,11819,44.90676723,49.52440813
Fulton County,Kentucky,6185,2382,38.51253032,774,1549,32.49370277,65.02938707
Gallatin County,Kentucky,8719,3338,38.2842069,749,2443,22.43858598,73.18753745
Garrard County,Kentucky,17382,7623,43.85571281,1453,5904,19.06073724,77.4498229
Grant County,Kentucky,24910,9559,38.37414693,1910,7268,19.98116958,76.03305785
Graves County,Kentucky,37217,16606,44.61939436,3308,12671,19.92051066,76.30374563
Grayson County,Kentucky,26093,10576,40.53194343,1959,8219,18.5230711,77.71369138
Green County,Kentucky,10969,5333,48.6188349,832,4372,15.60097506,81.98012376
Greenup County,Kentucky,35824,16277,45.43602054,4146,11546,25.47152424,70.93444738
Hancock County,Kentucky,8723,4295,49.2376476,1244,2788,28.96391153,64.91268917
Hardin County,Kentucky,106964,43156,40.34628473,13944,26971,32.31068681,62.49652424
Harlan County,Kentucky,26996,10757,39.84664395,1372,9129,12.75448545,84.86566887
Harrison County,Kentucky,18569,7781,41.90317195,2031,5435,26.10204344,69.84963372
Hart County,Kentucky,18541,7264,39.17803786,1730,5320,23.8160793,73.23788546
Henderson County,Kentucky,46212,19710,42.65125941,6707,12159,34.02841197,61.68949772
Henry County,Kentucky,15834,7149,45.14967791,1828,4944,25.57000979,69.15652539
Hickman County,Kentucky,4607,2157,46.82005644,449,1657,20.81594808,76.81965693
Hopkins County,Kentucky,45598,20345,44.61818501,4310,15277,21.18456623,75.08970263
Jackson County,Kentucky,13364,5501,41.1628255,482,4889,8.762043265,88.87475005
Jefferson County,Kentucky,767464,353099,46.00854242,190836,143768,54.04603242,40.7160598
Jessamine County,Kentucky,52219,23326,44.66956472,6144,15474,26.33970676,66.33799194
Johnson County,Kentucky,22858,9572,41.87592965,1250,8043,13.05892186,84.02632679
Kenton County,Kentucky,164962,71998,43.64520314,24214,42958,33.63148976,59.66554627
Knott County,Kentucky,15492,5763,37.19984508,1245,4357,21.6033316,75.60298456
Knox County,Kentucky,31471,12012,38.16847256,1761,9885,14.66033966,82.29270729
Larue County,Kentucky,14018,6367,45.42017406,1278,4799,20.07224753,75.37301712
Laurel County,Kentucky,60078,24833,41.33459836,3440,20592,13.85253493,82.92191842
Lawrence County,Kentucky,15839,6042,38.14634762,1045,4816,17.29559748,79.70870573
Lee County,Kentucky,6604,2667,40.38461538,444,2151,16.64791901,80.65241845
Leslie County,Kentucky,10431,4492,43.06394401,400,4015,8.904719501,89.38112199
Letcher County,Kentucky,22759,9134,40.13357353,1542,7293,16.88197942,79.8445369
Lewis County,Kentucky,13516,5298,39.19798757,785,4363,14.81691204,82.35183088
Lincoln County,Kentucky,24382,9561,39.21335411,1865,7338,19.50632779,76.74929401
Livingston County,Kentucky,9198,4645,50.50010872,887,3570,19.09580194,76.85683531
Logan County,Kentucky,26678,10899,40.8538871,2755,7778,25.2775484,71.36434535
Lyon County,Kentucky,8238,3962,48.09419762,1045,2789,26.3755679,70.39374054
McCracken County,Kentucky,65304,31307,47.94040181,9134,20774,29.17558374,66.35576708
McCreary County,Kentucky,17548,5776,32.91543196,664,5012,11.49584488,86.77285319
McLean County,Kentucky,9337,4566,48.90221699,988,3381,21.63819536,74.04730618
Madison County,Kentucky,89532,37371,41.74038333,11793,23431,31.55655455,62.69834899
Magoffin County,Kentucky,12668,5116,40.38522261,1172,3824,22.90852228,74.74589523
Marion County,Kentucky,19135,8111,42.3882937,2679,5122,33.02921958,63.14881026
Marshall County,Kentucky,31280,16698,53.38235294,3672,12322,21.99065756,73.79326865
Martin County,Kentucky,11945,3953,33.0933445,363,3503,9.182899064,88.61624083
Mason County,Kentucky,17167,7219,42.05161065,1970,4944,27.28909821,68.48593988
Meade County,Kentucky,27959,12231,43.74619979,3026,8660,24.7404137,70.80369553
Menifee County,Kentucky,6449,2779,43.09195224,700,2010,25.18891688,72.3281756
Mercer County,Kentucky,21405,10585,49.45106284,2395,7740,22.62635805,73.12234294
Metcalfe County,Kentucky,10020,4620,46.10778443,976,3491,21.12554113,75.56277056
Monroe County,Kentucky,10539,4991,47.35743429,601,4278,12.04167502,85.71428571
Montgomery County,Kentucky,27666,11452,41.39376852,3158,7856,27.57596926,68.59937129
Morgan County,Kentucky,13260,4775,36.01055807,1006,3628,21.06806283,75.97905759
Muhlenberg County,Kentucky,31150,13060,41.92616372,3272,9393,25.05359877,71.92189893
Nelson County,Kentucky,45497,20802,45.72169594,6434,13431,30.9297183,64.56590712
Nicholas County,Kentucky,7083,2841,40.11012283,787,1957,27.70151355,68.88419571
Ohio County,Kentucky,24158,10398,43.04164252,2080,7942,20.00384689,76.38007309
Oldham County,Kentucky,65410,32853,50.2262651,10268,20469,31.25437555,62.30481235
Owen County,Kentucky,10668,5001,46.87851519,1062,3745,21.23575285,74.885023
Owsley County,Kentucky,4472,1759,39.33363148,256,1474,14.55372371,83.79761228
Pendleton County,Kentucky,14595,6007,41.1579308,1164,4604,19.37739304,76.64391543
Perry County,Kentucky,27197,10572,38.8719344,2136,8158,20.20431328,77.16609913
Pike County,Kentucky,60431,24665,40.81514455,4280,19747,17.35252382,80.06081492
Powell County,Kentucky,12266,4957,40.41252242,1272,3513,25.66068186,70.86947751
Pulaski County,Kentucky,64013,28041,43.80516458,4208,22902,15.00659748,81.67326415
Robertson County,Kentucky,2125,1013,47.67058824,222,759,21.91510365,74.92596249
Rockcastle County,Kentucky,16872,6691,39.65742058,915,5609,13.67508594,83.82902406
Rowan County,Kentucky,24416,8848,36.23853211,3295,5174,37.24005425,58.47649186
Russell County,Kentucky,17769,8174,46.00146322,1093,6863,13.37166626,83.96134084
Scott County,Kentucky,53425,24200,45.29714553,7715,15052,31.88016529,62.19834711
Shelby County,Kentucky,46548,20580,44.21242588,6276,13196,30.49562682,64.12050534
Simpson County,Kentucky,17992,7531,41.85749222,2144,5077,28.46899482,67.41468596
Spencer County,Kentucky,18336,9515,51.89245201,1921,7196,20.18917499,75.62795586
Taylor County,Kentucky,25441,11306,44.44007704,2553,8320,22.58093048,73.58924465
Todd County,Kentucky,12357,4779,38.67443554,1042,3612,21.80372463,75.58066541
Trigg County,Kentucky,14302,6751,47.20318837,1587,4931,23.5076285,73.04103096
Trimble County,Kentucky,8596,3798,44.18334109,879,2771,23.14375987,72.95945234
Union County,Kentucky,14765,6211,42.0656959,1331,4701,21.42972146,75.68829496
Warren County,Kentucky,126419,48454,38.32809942,16966,28673,35.01465307,59.17571305
Washington County,Kentucky,12109,5636,46.54389297,1420,4013,25.19517388,71.20298084
Wayne County,Kentucky,20728,7992,38.55654188,1431,6371,17.90540541,79.71721722
Webster County,Kentucky,13181,5805,44.04066459,1240,4397,21.36089578,75.74504737
Whitley County,Kentucky,36108,13774,38.1466711,2067,11312,15.00653405,82.12574416
Wolfe County,Kentucky,7189,2635,36.6532202,753,1804,28.57685009,68.4629981
Woodford County,Kentucky,26118,13563,51.92970365,4958,7697,36.55533437,56.74998157
Acadia Parish,Louisiana,62786,27389,43.62278215,5638,21162,20.58490635,77.26459528
Allen Parish,Louisiana,25680,9245,36.00077882,2106,6867,22.77988102,74.2779881
Ascension Parish,Louisiana,121558,54678,44.98099673,16476,36143,30.13277735,66.10153992
Assumption Parish,Louisiana,22756,10904,47.91703287,3931,6714,36.05099046,61.57373441
Avoyelles Parish,Louisiana,40983,16586,40.47043896,5035,11165,30.35692753,67.31580851
Beauregard Parish,Louisiana,36973,15078,40.78111054,2393,12238,15.87080515,81.16461069
Bienville Parish,Louisiana,13780,7005,50.83454282,3129,3756,44.66809422,53.61884368
Bossier Parish,Louisiana,125920,49848,39.58703939,12641,35474,25.35909164,71.16433959
Caddo Parish,Louisiana,248837,105804,42.51940025,53483,49006,50.54912858,46.31771956
Calcasieu Parish,Louisiana,200568,83785,41.77386223,26296,54191,31.3850928,64.67864176
Caldwell Parish,Louisiana,10074,4692,46.57534247,788,3822,16.7945439,81.45780051
Cameron Parish,Louisiana,6896,3692,53.53828306,323,3256,8.74864572,88.19068256
Catahoula Parish,Louisiana,9869,4856,49.20458,1322,3479,27.22405272,71.64332784
Claiborne Parish,Louisiana,16146,6421,39.76836368,2717,3585,42.31428126,55.83242486
Concordia Parish,Louisiana,19970,8872,44.42663996,3272,5477,36.88007214,61.73354373
De Soto Parish,Louisiana,27190,13500,49.65060684,5165,8068,38.25925926,59.76296296
East Baton Rouge Parish,Louisiana,446677,196491,43.98950472,102828,84660,52.33216789,43.08594287
East Carroll Parish,Louisiana,7235,2939,40.6219765,1838,1059,62.53827833,36.03266417
East Feliciana Parish,Louisiana,19513,10042,51.46312715,4235,5569,42.17287393,55.45708026
Evangeline Parish,Louisiana,33667,14882,44.20352274,4208,10360,28.27576939,69.61429915
Franklin Parish,Louisiana,20370,9162,44.97790869,2506,6514,27.35210653,71.09801353
Grant Parish,Louisiana,22279,8821,39.59333902,1181,7408,13.3885047,83.981408
Iberia Parish,Louisiana,72971,32454,44.47520248,10698,20903,32.96357922,64.40808529
Iberville Parish,Louisiana,32864,16043,48.81633398,8324,7320,51.88555756,45.62737643
Jackson Parish,Louisiana,15895,7464,46.95816294,2139,5169,28.65755627,69.25241158
Jefferson Parish,Louisiana,436572,181639,41.60573743,73670,100398,40.55847037,55.27337191
Jefferson Davis Parish,Louisiana,31388,14277,45.48553587,3080,10775,21.57315963,75.47103733
Lafayette Parish,Louisiana,241275,105603,43.76872863,32726,68195,30.98964992,64.57676392
Lafourche Parish,Louisiana,98506,41645,42.27661259,8423,31959,20.22571737,76.74150558
La Salle Parish,Louisiana,15022,6569,43.72919718,605,5836,9.209925407,88.84152839
Lincoln Parish,Louisiana,47473,18669,39.32551134,7107,10761,38.06845573,57.64100916
Livingston Parish,Louisiana,139627,57730,41.3458715,6950,48824,12.03880132,84.5730123
Madison Parish,Louisiana,11486,4732,41.19798015,2744,1927,57.98816568,40.7227388
Morehouse Parish,Louisiana,25894,11852,45.77122113,5155,6502,43.49476882,54.85993925
Natchitoches Parish,Louisiana,39024,16621,42.59173842,7144,8968,42.98177005,53.955839
Orleans Parish,Louisiana,391843,165812,42.31592755,133996,24292,80.81200396,14.65032688
Ouachita Parish,Louisiana,156897,68017,43.35137064,24428,41734,35.91455077,61.35818986
Plaquemines Parish,Louisiana,23323,10573,45.33293316,3347,6900,31.65610517,65.26056937
Pointe Coupee Parish,Louisiana,22111,11761,53.19071955,4764,6789,40.50675963,57.72468328
Rapides Parish,Louisiana,131845,56844,43.11426296,18322,36816,32.23207375,64.76673
Red River Parish,Louisiana,8621,4422,51.29335344,1938,2391,43.82632293,54.07055631
Richland Parish,Louisiana,20446,9597,46.93827644,3157,6287,32.89569657,65.51005523
Sabine Parish,Louisiana,24055,9787,40.68592808,1703,7879,17.40063349,80.5047512
St. Bernard Parish,Louisiana,45777,15815,34.54791708,4960,10237,31.36263041,64.72968701
St. Charles Parish,Louisiana,52796,26192,49.60981893,8559,16621,32.67791692,63.45830788
St. Helena Parish,Louisiana,10389,5964,57.40687265,3353,2497,56.22065728,41.86787391
St. James Parish,Louisiana,21433,12085,56.38501376,6418,5456,53.10715763,45.14687629
St. John the Baptist Parish,Louisiana,43401,20743,47.79382964,12661,7569,61.03745842,36.48941812
St. Landry Parish,Louisiana,83768,39977,47.72347436,17209,21971,43.04725217,54.95910148
St. Martin Parish,Louisiana,53771,25750,47.88826691,8266,16873,32.10097087,65.52621359
St. Mary Parish,Louisiana,52069,22877,43.93593117,8050,14359,35.18818027,62.76609695
St. Tammany Parish,Louisiana,252468,124392,49.27040259,27717,90915,22.28197955,73.08749759
Tangipahoa Parish,Louisiana,130619,52416,40.12892458,16878,33959,32.20009158,64.78746947
Tensas Parish,Louisiana,4656,2548,54.72508591,1332,1182,52.27629513,46.38932496
Terrebonne Parish,Louisiana,113006,43896,38.84395519,10665,31902,24.29606342,72.67632586
Union Parish,Louisiana,22528,10894,48.35759943,2691,7972,24.70167064,73.17789609
Vermilion Parish,Louisiana,60074,25632,42.6673769,4857,20063,18.94897004,78.27325218
Vernon Parish,Louisiana,51481,16633,32.30900721,2665,13471,16.02236518,80.98959899
Washington Parish,Louisiana,46387,18628,40.15780283,5692,12556,30.55615203,67.4039081
Webster Parish,Louisiana,39751,18145,45.6466504,6260,11542,34.49986222,63.60980986
West Baton Rouge Parish,Louisiana,25901,12712,49.07918613,5383,6927,42.34581498,54.49181875
West Carroll Parish,Louisiana,11136,4759,42.73527299,715,3970,15.02416474,83.42088674
West Feliciana Parish,Louisiana,15327,5799,37.8351928,2248,3390,38.76530436,58.45835489
Winn Parish,Louisiana,14532,6372,43.84805945,1644,4608,25.80037665,72.31638418
Androscoggin County,Maine,107296,55601,51.82019833,23009,28227,41.38234924,50.76707253
Aroostook County,Maine,68243,35097,51.42945064,13386,19419,38.14001197,55.32951534
Cumberland County,Maine,291191,171818,59.00525772,102981,57709,59.93609517,33.58728422
Franklin County,Maine,29982,16488,54.9929958,7016,7918,42.55215915,48.02280446
Hancock County,Maine,54509,32130,58.9443945,16117,13705,50.16184251,42.65483971
Kennebec County,Maine,121497,66208,54.49352659,29302,31675,44.25749154,47.84165056
Knox County,Maine,39761,23147,58.21533664,12443,9148,53.75642632,39.52132026
