County,State,Population,Valid_ballots,Voter_turnout,Democrats,Republicans,Democrats_vote_share,Republicans_vote_share
Boulder County,Colorado,321250,188142,58.56560311,132334,41396,70.33729842,22.00253
Broomfield County,Colorado,66513,37689,56.66411078,19731,14367,52.35214519,38.11987583
Chaffee County,Colorado,19110,11250,58.86970173,4888,5391,43.44888889,47.92
Cheyenne County,Colorado,1850,1102,59.56756757,132,925,11.97822142,83.93829401
Clear Creek County,Colorado,9353,5866,62.71784454,2729,2575,46.52233208,43.89703375
Conejos County,Colorado,8050,4022,49.96273292,1771,1914,44.03281949,47.58826455
Costilla County,Colorado,3693,1848,50.04061738,1125,588,60.87662338,31.81818182
Crowley County,Colorado,5285,1527,28.89309366,339,1079,22.20039293,70.66142764
Custer County,Colorado,4588,3066,66.82650392,797,2061,25.99478147,67.22113503
Delta County,Colorado,30346,16790,55.32854412,4087,11655,24.34187016,69.41631924
Denver County,Colorado,696159,331852,47.66899516,244551,62690,73.69279076,18.89095139
Dolores County,Colorado,2056,1255,61.04085603,242,944,19.28286853,75.21912351
Douglas County,Colorado,328219,187499,57.12618709,68657,102573,36.61726196,54.70589176
Eagle County,Colorado,54541,25223,46.24594342,14099,8990,55.89739523,35.64207271
Elbert County,Colorado,25157,15978,63.5131375,3134,11705,19.6144699,73.25697835
El Paso County,Colorado,688277,318967,46.34282418,108010,179228,33.86243718,56.19013879
Fremont County,Colorado,46976,21973,46.77494891,5297,15122,24.10685842,68.82082556
Garfield County,Colorado,58785,26470,45.02849366,11271,13132,42.58027956,49.61088024
Gilpin County,Colorado,5914,3576,60.46668921,1634,1566,45.6935123,43.79194631
Grand County,Colorado,15179,8588,56.5781672,3358,4494,39.10107126,52.32883093
Gunnison County,Colorado,16414,9412,57.34129402,5128,3289,54.48363791,34.94475138
Hinsdale County,Colorado,788,589,74.74619289,197,339,33.44651952,57.55517827
Huerfano County,Colorado,6580,3783,57.49240122,1633,1883,43.16679884,49.7753106
Jackson County,Colorado,1358,861,63.40206186,171,629,19.86062718,73.05458769
Jefferson County,Colorado,571413,328882,57.5559184,160776,138177,48.88561855,42.01415705
Kiowa County,Colorado,1342,855,63.71087928,91,728,10.64327485,85.14619883
Kit Carson County,Colorado,7626,3702,48.54445319,536,2967,14.47866018,80.1458671
Lake County,Colorado,7590,3199,42.14756258,1616,1270,50.51578618,39.69990622
La Plata County,Colorado,55316,31150,56.31282088,15525,12587,49.83948636,40.40770465
Larimer County,Colorado,338984,195980,57.81393812,93113,83430,47.51148076,42.57067048
Las Animas County,Colorado,14073,6793,48.26973637,2650,3710,39.01074636,54.6150449
Lincoln County,Colorado,5551,2436,43.88398487,409,1892,16.78981938,77.6683087
Logan County,Colorado,22435,9722,43.33407622,1851,7282,19.03929233,74.90228348
Mesa County,Colorado,149736,77653,51.85994016,21729,49779,27.98217712,64.10441322
Mineral County,Colorado,756,652,86.24338624,237,344,36.34969325,52.7607362
Moffat County,Colorado,13144,6525,49.6424224,874,5305,13.39463602,81.30268199
Montezuma County,Colorado,25994,12858,49.46526121,3973,7853,30.89905117,61.07481723
Montrose County,Colorado,41151,21186,51.48356055,5466,14382,25.80005664,67.884452
Morgan County,Colorado,28199,11960,42.41285152,3151,8145,26.34615385,68.10200669
Otero County,Colorado,18266,8452,46.27176174,2943,4928,34.82016091,58.30572646
Ouray County,Colorado,4789,3310,69.11672583,1697,1351,51.26888218,40.81570997
Park County,Colorado,17343,10417,60.06457937,3421,6135,32.8405491,58.89411539
Phillips County,Colorado,4280,2332,54.48598131,436,1791,18.69639794,76.80102916
Pitkin County,Colorado,17975,10523,58.54242003,7333,2550,69.68545092,24.23263328
Prowers County,Colorado,11926,5016,42.05936609,1186,3531,23.64433812,70.39473684
Pueblo County,Colorado,164774,78646,47.72961754,35875,36265,45.61579737,46.11169036
Rio Blanco County,Colorado,6436,3450,53.60472343,436,2791,12.63768116,80.89855072
Rio Grande County,Colorado,11337,5534,48.81361912,2001,3085,36.15829418,55.74629563
Routt County,Colorado,24682,13986,56.66477595,7600,5230,54.34005434,37.39453739
Saguache County,Colorado,6412,2835,44.2139738,1417,1147,49.98236332,40.45855379
San Juan County,Colorado,691,506,73.22720695,265,215,52.3715415,42.49011858
San Miguel County,Colorado,8017,4329,53.99775477,2975,1033,68.72256872,23.86232386
Sedgwick County,Colorado,2400,1364,56.83333333,267,1015,19.57478006,74.41348974
Summit County,Colorado,30552,16174,52.93925111,9557,5100,59.08866081,31.53208854
Teller County,Colorado,24058,14444,60.03824092,3603,9745,24.94461368,67.46746054
Washington County,Colorado,4834,2733,56.53702938,296,2299,10.8305891,84.12001464
Weld County,Colorado,295712,135428,45.7972622,46519,76651,34.34961751,56.59907848
Yuma County,Colorado,10055,4791,47.64793635,726,3850,15.15341265,80.35900647
Fairfield County,Connecticut,944347,421209,44.603202,243852,160077,57.89334986,38.0041737
Hartford County,Connecticut,894141,406864,45.50333784,240403,148173,59.08682017,36.41831177
Litchfield County,Connecticut,182793,97442,53.30729295,39775,53051,40.81915396,54.44366905
Middlesex County,Connecticut,163292,88624,54.27332631,45357,38867,51.17913883,43.85606608
New Haven County,Connecticut,857901,379006,44.17829097,205609,159048,54.24953695,41.96450716
New London County,Connecticut,268403,123528,46.02333059,62278,54058,50.41609999,43.76173823
Tolland County,Connecticut,151162,77424,51.21922176,38506,34194,49.73393263,44.16460012
Windham County,Connecticut,116102,50823,43.77443972,21792,25747,42.87822443,50.66013419
Kent County,Delaware,174542,74598,42.73928338,33351,36991,44.70763291,49.5871203
New Castle County,Delaware,555058,262391,47.27271745,162919,85525,62.09016315,32.59448685
Sussex County,Delaware,219321,106008,48.3346328,39333,62611,37.10380349,59.06252358
District of Columbia,District of Columbia,685815,311268,45.38658385,282830,12723,90.86382153,4.087474459
Alachua County,Florida,263959,128571,48.70870097,75820,46834,58.97130768,36.42656587
Baker County,Florida,27884,12634,45.30913786,2112,10294,16.71679595,81.47854994
Bay County,Florida,183634,87453,47.62353377,21797,62194,24.92424502,71.11705716
Bradford County,Florida,26740,12098,45.24308153,2924,8913,24.16928418,73.67333444
Brevard County,Florida,576874,314752,54.56165471,119679,181848,38.02326911,57.77501017
Broward County,Florida,1912583,831951,43.49881809,553320,260951,66.50872467,31.36615017
Calhoun County,Florida,14330,6081,42.4354501,1241,4655,20.40782766,76.54990955
Charlotte County,Florida,177671,96374,54.24295467,33445,60218,34.70334323,62.48365742
Citrus County,Florida,142804,79700,55.8107616,22789,54456,28.59347553,68.32622334
Clay County,Florida,207246,106483,51.38000251,27822,74963,26.12811435,70.39903083
Collier County,Florida,365445,170789,46.73452914,61085,105423,35.76635498,61.72704331
Columbia County,Florida,69265,28707,41.44517433,7601,20368,26.47786254,70.95133591
DeSoto County,Florida,36255,10818,29.83864295,3781,6778,34.95100758,62.65483454
Dixie County,Florida,16465,7202,43.74126936,1270,5822,17.63399056,80.83865593
Duval County,Florida,926010,432695,46.7268172,205704,211672,47.54018419,48.91944672
Escambia County,Florida,311473,152469,48.95095241,57461,88808,37.68700523,58.24659439
Flagler County,Florida,107406,57503,53.53797739,22026,33850,38.30408848,58.86649392
Franklin County,Florida,11823,6015,50.87541233,1744,4125,28.99418121,68.57855362
Gadsden County,Florida,46086,22113,47.98203359,15020,6728,67.9238457,30.42554154
Gilchrist County,Florida,17622,8420,47.78118261,1458,6740,17.31591449,80.04750594
Glades County,Florida,13406,4353,32.47053558,1271,2996,29.19825408,68.82609694
Gulf County,Florida,16062,7293,45.40530445,1720,5329,23.58425888,73.07006719
Hamilton County,Florida,14303,5460,38.17380969,1904,3443,34.87179487,63.05860806
Hardee County,Florida,27219,7583,27.85921599,2149,5242,28.33970724,69.12831333
Hendry County,Florida,40037,11115,27.76182032,4615,6195,41.52046784,55.73549258
Hernando County,Florida,182459,93796,51.40661738,31795,58970,33.89803403,62.87048488
Highlands County,Florida,102041,45686,44.77219941,14937,29565,32.69491748,64.71347897
Hillsborough County,Florida,1396693,597660,42.79107864,307896,266870,51.51691597,44.652478
